:START_ID,:END_ID,:TYPE,strength
agent_pip/4a989e56,event/b760a944,ACTS_IN,1.0
agent_pip/4ea3c06c,event/6a7f14fe,ACTS_IN,1.0
agent_pip/cc0e1ee4,event/3c85710d,ACTS_IN,1.0
agent_pip/26b15396,event/f7cc372f,ACTS_IN,0.8
agent_pip/ea558bd4,event/7c2d8479,ACTS_IN,0.8
agent_pip/5e50f1ea,event/f3d7db57,ACTS_IN,0.8
agent_pip/ae84c48f,event/168b2644,ACTS_IN,0.8
agent_pip/2ee771ba,event/fb23f5b7,ACTS_IN,0.8
agent_pip/8e7fb2c5,event/3b172c9c,ACTS_IN,0.8
agent_pip/4f80ed1a,event/5c011a34,ACTS_IN,0.8
agent_pip/07b0ac56,event/66b75bb0,ACTS_IN,0.8
agent_pip/b6c3aaeb,event/3112b56c,ACTS_IN,0.8
agent_pip/96f7f4a4,event/734dbf9d,ACTS_IN,0.8
agent_pip/2f33cf37,event/7b887074,ACTS_IN,1.0
agent_pip/3d97e50f,event/573e24b1,ACTS_IN,1.0
agent_pip/d14df0dc,event/95f60f48,ACTS_IN,1.0
agent_pip/17893f11,event/8ee9f7cd,ACTS_IN,1.0
agent_pip/8b07859b,event/8e0b3073,ACTS_IN,1.0
agent_pip/7ebb59b3,event/b33f8cfa,ACTS_IN,0.8
agent_pip/078e4c67,event/76794ee2,ACTS_IN,0.8
agent_pip/e455eb8d,event/39ee4883,ACTS_IN,0.8
agent_pip/768fae3d,event/b9aa27a8,ACTS_IN,0.8
agent_pip/d82aa225,event/309e2546,ACTS_IN,0.8
agent_pip/24307c4d,event/d7ede6e2,ACTS_IN,0.8
agent_pip/ce22df75,event/c52160ad,ACTS_IN,0.8
agent_pip/1f38ece1,event/a5bbf1d3,ACTS_IN,0.8
agent_pip/26ecfda8,event/3e296ebb,ACTS_IN,0.5
agent_pip/a3e8da5a,event/c346a52c,ACTS_IN,0.8
agent_pip/1d21064f,event/cdd72180,ACTS_IN,0.8
agent_pip/6dc122b7,event/7a6e1750,ACTS_IN,0.8
agent_pip/18e9a0f2,event/7ac741c0,ACTS_IN,0.5
agent_pip/6064657e,event/4b67ee9c,ACTS_IN,1.0
agent_pip/a63ec65a,event/7b00ba3d,ACTS_IN,0.5
agent_pip/7264727a,event/ef2b637e,ACTS_IN,0.5
agent_pip/bee3a0fa,event/2811f6de,ACTS_IN,0.5
agent_pip/ae41a1e0,event/9ceafd6e,ACTS_IN,0.5
